state,abbr,age,income,poverty,smokes,obesity,healthcare
Alabama,AL,38.6,42830,19.3,21.1,33.5,13.9
Alaska,AK,33.3,71583,11.2,19.9,29.7,15
Arizona,AZ,36.9,50068,18.2,16.5,28.9,14.4
Arkansas,AR,37.8,41262,18.9,24.7,35.9,16.3
California,CA,36,61933,16.4,12.9,24.7,14.8
Colorado,CO,36.3,61303,12,15.7,21.3,12.8
Connecticut,CT,40.5,70048,10.8,15.4,26.3,8.7
Delaware,DE,39.6,59716,12.5,19.9,30.7,8.7
Washington D.C.,DC,33.8,71648,17.7,16.4,21.7,8.3
Florida,FL,41.6,47463,16.5,17.7,26.2,17.6
Georgia,GA,36.1,49321,18.3,17.4,30.5,20.9
Hawaii,HI,38.1,69592,11.4,14.1,22.1,8.1
Idaho,ID,35.9,47861,14.8,15.9,28.9,16.5
Illinois,IL,37.5,57444,14.4,16.5,29.3,11.9
Indiana,IN,37.4,49446,15.2,22.9,32.7,14.8
Iowa,IA,38.2,53712,12.2,18.5,30.9,7.7
Kansas,KS,36.2,52504,13.6,18.1,31.3,14.5
Kentucky,KY,38.5,42958,19.1,26.2,31.6,10
Louisiana,LA,36.1,44555,19.8,24,34.9,18.7
Maine,ME,44.1,49462,14.1,19.3,28.2,11
Maryland,MD,38.3,73971,10.1,14.6,29.6,9.2
Massachusetts,MA,39.4,69160,11.6,14.7,23.3,4.6
Michigan,MI,39.6,49847,16.2,21.2,30.7,10.3
Minnesota,MN,37.8,61481,11.5,16.3,27.6,7.3
Mississippi,MS,36.7,39680,21.5,23,35.5,18.8
Missouri,MO,38.5,48363,15.5,20.6,30.2,12.9
Montana,MT,39.6,46328,15.4,19.9,26.4,12.9
Nebraska,NE,36.2,52686,12.4,17.3,30.2,12.4
Nevada,NV,37.4,51450,15.2,17,27.7,17.1
New Hampshire,NH,42.5,66532,9.2,17.5,27.4,11.4
New Jersey,NJ,39.4,71919,11.1,15.1,26.9,12.5
New Mexico,NM,37.2,44803,21.3,19.2,28.4,15.4
New York,NY,38.2,58878,15.9,14.4,27,12.3
North Carolina,NC,38.3,46556,17.2,19.1,29.7,16.1
North Dakota,ND,35.1,59029,11.5,19.9,32.2,8.8
Ohio,OH,39.4,49308,15.8,21,32.6,10.2
Oklahoma,OK,36.2,47529,16.6,21.1,33,13.9
Oregon,OR,39.3,51075,16.6,17,27.9,11
Pennsylvania,PA,40.7,53234,13.6,19.9,30.2,10.1
Rhode Island,RI,39.8,54891,14.3,16.3,27,8
South Carolina,SC,38.8,45238,18,21.5,32.1,17.1
South Dakota,SD,36.6,50979,14.2,18.6,29.8,9.9
Tennessee,TN,38.6,44361,18.3,24.2,31.2,14.2
Texas,TX,34.3,53035,17.2,14.5,31.9,24.9
Utah,UT,30.5,60922,11.7,9.7,25.7,13.9
Vermont,VT,42.8,54166,12.2,16.4,24.8,6.7
Virginia,VA,37.7,64902,11.8,19.5,28.5,13.1
Washington,WA,37.5,61366,13.2,15.3,27.3,10.7
West Virginia,WV,41.9,41059,18.3,26.7,35.7,10.1
Wisconsin,WI,39.2,52622,13.2,17.4,31.2,8.5
Wyoming,WY,36.6,57055,11.2,19.5,29.5,15.1
